Responses,Major,Minor,Not a Reason
Less likely to have access to quality education to prepare them for these fields,52,25,22
"Face discrimination in recruitment, hiring and promotions",45,25,28
Not encouraged to pursue these subjects from an early age,34,36,28
Less likely to think they would succeed in these fields,32,30,37
Lack of black and Hispanic role models in these fields,32,36,31
"More are being trained in these fields, but the process is slow",25,42,32
Less Interested in STEM fields than others,19,25,54
