Industry,Total Employed,Female,Male,White,Black,Asian,Hispanic
Professional and Technical Services,"18,835",42.2,57.8,78.5,10,8.3,16.3
"Architectural, engineering, and related services","1,706",42.5,57.5,80.7,7.4,9.7,8
Computer systems design and related services,"3,057",27.4,72.6,68.5,7.3,21.4,7.1
"Management, scientific, and technical consulting services","1,706",42.5,57.5,80.7,7.4,9.7,8
"Other profession, scientific, and technical services",497,55.5,44.5,82.1,7.3,6.7,13.6
